handedness,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
Right,0.802533507,0.697950363,-4.89E-07,0.754039526,0.660036922,-0.037238274,0.706285417,0.60677886,-0.060743093,0.691485643,0.547928691,-0.080510847,0.733547688,0.530300975,-0.093142994,0.743475318,0.40815717,-0.024833674,0.715234816,0.442855954,-0.058709774,0.725352108,0.53265959,-0.074952804,0.738364458,0.542829692,-0.083205707,0.789251864,0.400316536,-0.021958664,0.758813739,0.460263968,-0.053858347,0.76162523,0.561538041,-0.055334114,0.768689632,0.565027714,-0.049912605,0.831173778,0.423472524,-0.026094161,0.802959561,0.493914098,-0.06048093,0.799879491,0.583681524,-0.049842209,0.807097256,0.586452127,-0.034276981,0.870288134,0.462943941,-0.034257736,0.844917357,0.511876643,-0.052024372,0.8361516,0.575773716,-0.043428022,0.839184225,0.584792912,-0.031529438
Right,0.80041337,0.647500634,-4.36E-07,0.748377264,0.617657423,-0.036219627,0.696985841,0.571371973,-0.060123678,0.691523433,0.516400218,-0.079907387,0.73690021,0.490149856,-0.09321592,0.721713185,0.375198424,-0.02857824,0.707554579,0.410839587,-0.062383641,0.719291866,0.496872336,-0.078826569,0.726703525,0.507461727,-0.087248772,0.767932057,0.358302444,-0.026028844,0.751432955,0.41801998,-0.057518162,0.757402718,0.520985305,-0.059047926,0.760954559,0.530578732,-0.053987522,0.811609149,0.370633364,-0.029852726,0.797899663,0.438695282,-0.065034255,0.797108412,0.537340462,-0.053238355,0.798085868,0.553358972,-0.036816582,0.852883697,0.401056886,-0.037363268,0.8386994,0.449021131,-0.058028687,0.831711948,0.526345909,-0.048038762,0.829144418,0.548835218,-0.03449126
Right,0.803335905,0.594065309,-4.56E-07,0.749145031,0.571408689,-0.035566304,0.696715832,0.520581663,-0.056681093,0.690749288,0.458109558,-0.074639283,0.737276912,0.426855326,-0.0855814,0.722720623,0.334058315,-0.019315826,0.705331445,0.358513683,-0.053030204,0.719523072,0.444377035,-0.068917058,0.728762209,0.450245947,-0.077574149,0.765869498,0.30844456,-0.017824598,0.748250902,0.361653566,-0.052630022,0.759354234,0.464477092,-0.055131152,0.766142786,0.463236541,-0.049242828,0.808538318,0.313916445,-0.023815677,0.794045806,0.381314456,-0.059254128,0.797369063,0.473705292,-0.047734063,0.802359462,0.467990071,-0.031448789,0.850898445,0.33710444,-0.033944689,0.834600985,0.393143147,-0.052560996,0.832701921,0.45921126,-0.044194601,0.836252689,0.458108217,-0.032686614
Right,0.798644602,0.566919684,-4.86E-07,0.745723724,0.526347101,-0.027678214,0.698211968,0.466458976,-0.045508303,0.683678329,0.398964167,-0.06233805,0.721604168,0.378755987,-0.072899319,0.740425408,0.292776436,-0.009031167,0.710888445,0.30320242,-0.039141051,0.718095779,0.387469143,-0.054110289,0.730521083,0.394981861,-0.062370814,0.780657291,0.279864311,-0.009693011,0.7481879,0.320201844,-0.040172841,0.755464971,0.415306509,-0.040829163,0.767715335,0.413101941,-0.034346182,0.819004953,0.292457193,-0.017310258,0.787386119,0.344009817,-0.046987679,0.790059209,0.428021699,-0.034884598,0.803324461,0.423423827,-0.019492244,0.855841994,0.322026879,-0.028599104,0.824246347,0.363078237,-0.042255953,0.822147608,0.421620518,-0.033567641,0.833539069,0.42173788,-0.022783918
Right,0.799153149,0.53236866,-5.11E-07,0.743358016,0.479878366,-0.020661205,0.70108968,0.418753386,-0.037201528,0.684418797,0.353432953,-0.054689493,0.719069183,0.333384186,-0.066263653,0.755649328,0.253932774,-0.002825218,0.715996802,0.255499721,-0.033103839,0.71944505,0.339537203,-0.048229042,0.733285606,0.354382515,-0.056045264,0.791037858,0.249979764,-0.006852473,0.744064748,0.276854426,-0.037087612,0.749484897,0.371373862,-0.037394591,0.766356289,0.373110741,-0.030911447,0.824889123,0.266188204,-0.017505832,0.778565884,0.299724668,-0.046497781,0.77987349,0.384701014,-0.033814214,0.797059834,0.385495216,-0.018240267,0.855873108,0.300631642,-0.031223046,0.813315272,0.322010398,-0.044491991,0.809850216,0.378005773,-0.035199676,0.824464738,0.38382569,-0.023952803
Right,0.796081424,0.521173656,-5.39E-07,0.742469072,0.473094195,-0.018334707,0.698452055,0.408402354,-0.032606315,0.684469342,0.343309462,-0.047988247,0.718159378,0.32471925,-0.057465892,0.756600142,0.246160582,-0.001789271,0.715159655,0.24572441,-0.03087407,0.71895057,0.330603927,-0.045206182,0.733251691,0.343613029,-0.052802149,0.791476011,0.241906822,-0.006522281,0.743385315,0.26687637,-0.035936933,0.749624968,0.363501519,-0.035271991,0.766922176,0.362900078,-0.028193288,0.824341118,0.256736547,-0.017573291,0.775726438,0.287916332,-0.045726635,0.778300643,0.375259757,-0.031997744,0.796340525,0.374828935,-0.015927041,0.854567945,0.289650887,-0.031593911,0.809081495,0.310009211,-0.045625202,0.807004929,0.366761178,-0.036554854,0.822711706,0.370789737,-0.025291072
Right,0.786747038,0.497936368,-4.70E-07,0.734285951,0.437990278,-0.014003776,0.700883746,0.372983545,-0.028575435,0.683839083,0.320550054,-0.044645283,0.708910525,0.314456344,-0.055683088,0.776011407,0.223955631,-0.00119036,0.717987239,0.231015921,-0.027639195,0.721992314,0.304269731,-0.044050395,0.741730809,0.313831747,-0.054172151,0.801804066,0.221168175,-0.007273535,0.733082891,0.249913216,-0.034664504,0.740866423,0.332521617,-0.037577339,0.763744771,0.334057212,-0.034542602,0.823347151,0.237543553,-0.018061467,0.755249143,0.269841224,-0.042494472,0.761568844,0.345435649,-0.032081049,0.783756375,0.352586865,-0.019775445,0.838687718,0.269712716,-0.031684518,0.780477643,0.290925771,-0.046578031,0.782025814,0.339740455,-0.040767618,0.800121844,0.351275891,-0.031785645
Right,0.780371606,0.484505117,-4.48E-07,0.728280008,0.424298525,-0.011982325,0.704497218,0.358785093,-0.026521368,0.689731896,0.312020987,-0.042644385,0.705281675,0.301513374,-0.053836565,0.788683593,0.218441337,-0.000122865,0.722942889,0.219444931,-0.026643166,0.721816778,0.286486715,-0.044281919,0.740421951,0.303616047,-0.05494985,0.806048095,0.218499959,-0.00677446,0.727530599,0.237035155,-0.032405376,0.732321262,0.313836664,-0.036262885,0.757798254,0.316585273,-0.03464812,0.817684472,0.236255288,-0.017760914,0.739879072,0.256961584,-0.039311811,0.743915796,0.328410089,-0.029622423,0.768296599,0.332647592,-0.019420138,0.821229458,0.268796563,-0.031533502,0.757638097,0.285151392,-0.045805853,0.760588765,0.335717201,-0.040750127,0.78213191,0.346692979,-0.03278657
Right,0.785633862,0.464206219,-4.37E-07,0.733657837,0.392906249,-0.004251432,0.716954947,0.333511949,-0.016849037,0.70265013,0.291366577,-0.032209255,0.708860517,0.262008131,-0.043315377,0.813667417,0.203205645,0.005651431,0.738929331,0.189798623,-0.016081363,0.733121336,0.257590264,-0.032702565,0.749337375,0.286116362,-0.043337159,0.820744574,0.2074285,-0.003941163,0.728977799,0.20551765,-0.025995888,0.72872448,0.280326009,-0.032980379,0.753417134,0.297623068,-0.035534073,0.815687597,0.224651188,-0.016425304,0.727164268,0.232612729,-0.031947475,0.72751379,0.301687062,-0.02502935,0.750738025,0.315328151,-0.019750964,0.800321579,0.24919048,-0.031260237,0.729426265,0.268922716,-0.043454576,0.732425451,0.321874648,-0.041845575,0.75527066,0.335456103,-0.038223706
Right,0.787521541,0.466834426,-4.13E-07,0.75486809,0.381117404,-0.006901316,0.74954772,0.302659333,-0.017009174,0.744006634,0.254754692,-0.028699955,0.738257766,0.22205928,-0.036580704,0.832413197,0.208173424,0.00025066,0.752409458,0.173658341,-0.023056814,0.740905464,0.234177649,-0.041182689,0.754650891,0.264102191,-0.052454446,0.82708782,0.210310236,-0.006668654,0.736338258,0.189093783,-0.030656211,0.730435491,0.255868405,-0.039638709,0.749236405,0.280774176,-0.043256946,0.81158489,0.224776357,-0.016469341,0.726267576,0.218050241,-0.031778004,0.722315192,0.284173757,-0.027562857,0.740442753,0.30357635,-0.024284849,0.789967835,0.24863182,-0.028972903,0.72194618,0.268631577,-0.041824047,0.722003937,0.318345487,-0.043576173,0.742091954,0.329208493,-0.042684749
