handedness,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
Right,0.800275564,0.747290254,-8.30E-08,0.748855948,0.682196319,-0.005159177,0.715595782,0.59166646,-0.014277069,0.686823726,0.542395115,-0.027932214,0.673455179,0.50198561,-0.042408932,0.785351455,0.459106594,0.003279305,0.756870866,0.37776503,-0.028258033,0.722964883,0.408393532,-0.058160264,0.699283123,0.458596468,-0.074227206,0.813288331,0.44942534,-0.009914557,0.806216478,0.33141309,-0.028926764,0.777040958,0.265098453,-0.046589572,0.74402684,0.220040381,-0.058713056,0.839716017,0.471296489,-0.028051684,0.850388229,0.345734566,-0.044217564,0.83542639,0.267353028,-0.056002405,0.814624548,0.208155453,-0.063644052,0.857397616,0.516665101,-0.047503509,0.879594982,0.421317816,-0.05909007,0.885062456,0.348800629,-0.062694542,0.883087873,0.280308217,-0.064838536
Right,0.744909823,0.667285562,-2.10E-07,0.697432339,0.612272024,-0.009892702,0.663321912,0.536846459,-0.021167884,0.632739007,0.487218469,-0.03589008,0.632714987,0.440535933,-0.050013881,0.722043157,0.409888208,0.002564415,0.69616878,0.334302932,-0.027365483,0.664593935,0.360656381,-0.055480655,0.644394517,0.404405385,-0.071182668,0.743440032,0.393657118,-0.006837344,0.734416366,0.280727029,-0.027500862,0.706197619,0.221578255,-0.046156615,0.676664948,0.177163273,-0.057832766,0.767360568,0.403176427,-0.021140741,0.772164583,0.284017503,-0.037616346,0.761305392,0.206912726,-0.050291415,0.747555614,0.140453935,-0.057857707,0.785385609,0.43472603,-0.037147634,0.797786474,0.340814173,-0.047922242,0.797559261,0.272840887,-0.051674787,0.79300499,0.206414148,-0.05385549
Right,0.728384733,0.649584293,-2.01E-07,0.680809915,0.594590545,-0.009561874,0.64744556,0.519717276,-0.020574862,0.620167971,0.47439304,-0.035142086,0.620562017,0.426548123,-0.048972126,0.70391947,0.392594844,0.004173419,0.679273248,0.322861552,-0.024673939,0.649607122,0.354014993,-0.0515793,0.632676244,0.398954213,-0.066549189,0.724928916,0.378474057,-0.005604888,0.713339269,0.268630117,-0.025644204,0.684382379,0.213769346,-0.04341707,0.657449126,0.171472222,-0.054582175,0.748591244,0.391433507,-0.020501064,0.751466513,0.273529232,-0.038211346,0.739207327,0.197303966,-0.051209979,0.725995004,0.130325884,-0.058774397,0.766479731,0.425342321,-0.036911797,0.778262496,0.329277605,-0.049481787,0.777169466,0.260562748,-0.054109637,0.772144198,0.192150325,-0.056853972
Right,0.722547948,0.633923173,-1.61E-07,0.676103652,0.581998646,-0.012517765,0.640986383,0.511464179,-0.025768947,0.613532901,0.467325777,-0.042091526,0.614528418,0.414222866,-0.057261515,0.691855371,0.380129844,0.000163182,0.668997526,0.310250819,-0.030587107,0.641374171,0.344802946,-0.057982065,0.625779271,0.391644448,-0.072636567,0.713431954,0.364145368,-0.007762564,0.701872349,0.257212847,-0.028675189,0.674535275,0.202636585,-0.045663707,0.649325967,0.157812685,-0.056008741,0.737957895,0.376025915,-0.021036195,0.739532471,0.261731476,-0.038895339,0.728083253,0.186738461,-0.049690116,0.716583371,0.120127648,-0.055407993,0.757517874,0.408867806,-0.036161117,0.767328978,0.313057899,-0.048215784,0.766638398,0.245079413,-0.051304892,0.763870955,0.17784217,-0.052535951
Right,0.721389353,0.623241067,-1.77E-07,0.675751746,0.571920037,-0.011563743,0.641923428,0.501317799,-0.024188848,0.615332901,0.45800063,-0.04005298,0.616172969,0.407066137,-0.054792542,0.693475187,0.370560825,0.001598989,0.671002448,0.303996414,-0.028575435,0.642404318,0.33797583,-0.055741191,0.625604868,0.383709282,-0.070439249,0.714027882,0.356500715,-0.006881343,0.702059209,0.250556648,-0.027732493,0.67409128,0.197345391,-0.044551417,0.64867866,0.153360084,-0.05456965,0.737882137,0.369337976,-0.02066314,0.738797605,0.255319655,-0.038759403,0.726779401,0.180777147,-0.049793396,0.714945614,0.114430159,-0.055497602,0.757029533,0.403660059,-0.036197845,0.767080307,0.309219122,-0.048705943,0.765649915,0.241397515,-0.052194439,0.761929214,0.174580455,-0.053579465
Right,0.734187424,0.626227438,-2.03E-07,0.688987315,0.576571584,-0.011245299,0.654146075,0.505139589,-0.023105808,0.626280606,0.459502339,-0.038091354,0.627948821,0.412888855,-0.051963169,0.703774631,0.376147062,0.001807517,0.68067956,0.309179664,-0.027959289,0.651490808,0.339858294,-0.054667309,0.634400785,0.382966697,-0.069197334,0.724443436,0.360471904,-0.006724294,0.712382257,0.252897322,-0.028091725,0.683745205,0.201281413,-0.044495039,0.657455325,0.161421701,-0.053668544,0.749326169,0.371261537,-0.020422215,0.749540389,0.25488168,-0.038658619,0.736612082,0.181548625,-0.048924893,0.723644853,0.118366957,-0.05371815,0.770140111,0.403580397,-0.035875943,0.779412091,0.308205813,-0.048471309,0.777483225,0.240189001,-0.051665805,0.773150861,0.174684316,-0.052521296
Right,0.743681431,0.629438758,-2.18E-07,0.698980153,0.577286243,-0.011167343,0.664430499,0.506666422,-0.023599602,0.636235058,0.461833298,-0.039348017,0.638891757,0.41322121,-0.054239638,0.717231154,0.381347507,0.001467728,0.694341302,0.312968105,-0.028863832,0.664761126,0.342703253,-0.056543492,0.646594524,0.386054486,-0.071765274,0.73777312,0.366325736,-0.007193614,0.726579547,0.258490741,-0.028199127,0.698679268,0.207592621,-0.045212857,0.672526658,0.168742478,-0.055353027,0.762107491,0.37690267,-0.020994445,0.763773739,0.260952801,-0.038404368,0.751020133,0.187681705,-0.049173709,0.73733449,0.125712663,-0.054991465,0.782063067,0.408647478,-0.036609754,0.792473853,0.314159095,-0.048942987,0.790735066,0.245531067,-0.052607782,0.785963833,0.180087328,-0.054157142
Right,0.753991425,0.623386621,-2.44E-07,0.713576078,0.546220183,-0.002360205,0.693510532,0.474440217,-0.012375602,0.671425521,0.429450065,-0.027658679,0.66346693,0.37901783,-0.042301308,0.757462084,0.360739291,0.010461466,0.730476379,0.293790519,-0.016918156,0.697876394,0.323115349,-0.044392414,0.676142633,0.363754809,-0.060081128,0.771236897,0.359027058,-0.00292289,0.763691068,0.247227237,-0.024367556,0.735887587,0.196503013,-0.043102585,0.709498703,0.158313006,-0.054025829,0.784346581,0.377226293,-0.020482481,0.789400995,0.259968996,-0.037241682,0.777302623,0.187846839,-0.048939582,0.764863729,0.128080219,-0.055595841,0.79053539,0.410696626,-0.039143659,0.804636836,0.324706972,-0.049643353,0.803971291,0.260412693,-0.052581377,0.799532175,0.198318884,-0.054029785
Right,0.755412579,0.620473266,-2.54E-07,0.71457684,0.54870981,-0.003558338,0.692517817,0.47355783,-0.014486468,0.670574903,0.42966193,-0.030354448,0.668960869,0.379965007,-0.045873549,0.758949518,0.366455317,0.006217834,0.734296203,0.293995142,-0.021974495,0.700502455,0.318495125,-0.049141075,0.678400517,0.357582837,-0.064587273,0.773911238,0.364088655,-0.007185506,0.768262863,0.249653727,-0.030210033,0.740546227,0.196172714,-0.0493185,0.714368105,0.158415765,-0.0601478,0.788411438,0.382655472,-0.0248481,0.794469237,0.263930351,-0.043319881,0.783746779,0.188017622,-0.056370538,0.773363471,0.125829399,-0.063660949,0.795939207,0.416300565,-0.043460533,0.809357107,0.328763157,-0.056209069,0.809015632,0.261856496,-0.061133068,0.805552304,0.197641864,-0.063838184
Right,0.763288617,0.620077133,-3.02E-07,0.720210135,0.54348129,0.001984005,0.703412533,0.470477521,-0.005411027,0.686658561,0.42366755,-0.018928569,0.678689122,0.370760143,-0.031970125,0.769389272,0.367315233,0.014394176,0.744358897,0.291123509,-0.012086731,0.711835146,0.312643051,-0.038396236,0.68947649,0.34948194,-0.053032834,0.78389281,0.36503315,-0.001257273,0.774091959,0.249218211,-0.021401644,0.745607138,0.192759573,-0.039579883,0.717734516,0.152713478,-0.050682813,0.795974493,0.380042374,-0.021096464,0.796131194,0.262532294,-0.036289174,0.781484544,0.18938981,-0.048179198,0.766578496,0.131128848,-0.055809468,0.800274372,0.405341238,-0.041848704,0.807546139,0.31887871,-0.052449141,0.803302109,0.253846854,-0.057313807,0.795651734,0.192938864,-0.060606405
