handedness,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
Right,0.76980561,0.795948446,3.87E-07,0.704792619,0.761952639,-0.024881065,0.663629711,0.678817749,-0.037905596,0.64768362,0.596816242,-0.048552427,0.628214717,0.529113948,-0.059571382,0.699117243,0.546493411,-0.024948254,0.686807394,0.451373816,-0.045093358,0.681989968,0.393296123,-0.061232612,0.681114197,0.334268689,-0.073768362,0.74448812,0.527622938,-0.029013114,0.746969163,0.412154406,-0.046027184,0.750856876,0.342234731,-0.061615441,0.754291713,0.272872388,-0.074057736,0.784958422,0.539446771,-0.036578778,0.794423461,0.426347673,-0.05873489,0.802828133,0.355683267,-0.072793819,0.808026195,0.285864472,-0.082404509,0.822181702,0.572050154,-0.045752678,0.838819504,0.479272842,-0.067144752,0.85223186,0.420087695,-0.075825803,0.861939192,0.36021623,-0.081404462
Right,0.776053548,0.766657889,4.51E-07,0.710565627,0.728527009,-0.023349911,0.667555273,0.64401859,-0.03625856,0.649590194,0.561036527,-0.047441542,0.628964484,0.496589154,-0.059117209,0.704513729,0.5114972,-0.023672922,0.69159174,0.412570298,-0.044320349,0.687239707,0.351187319,-0.060885724,0.68779701,0.290304869,-0.07340043,0.749681175,0.492779315,-0.028659195,0.753713965,0.37163353,-0.045702118,0.760435224,0.295435548,-0.061138865,0.767496049,0.224225998,-0.073290311,0.790598154,0.505072832,-0.037167709,0.8012833,0.387910187,-0.059088305,0.809995413,0.314274281,-0.073690578,0.816775262,0.245086312,-0.083568595,0.828777075,0.537803292,-0.047200046,0.848124266,0.44249022,-0.068316728,0.862315059,0.379666984,-0.077405043,0.873272121,0.318283439,-0.083211161
Right,0.794264436,0.708659291,4.83E-07,0.727434874,0.669425368,-0.022578143,0.682213247,0.586314261,-0.035570193,0.663332283,0.505816519,-0.046956412,0.645827174,0.443080127,-0.058696136,0.721046448,0.452327669,-0.024869682,0.708726823,0.347163916,-0.046130676,0.705505371,0.281611741,-0.062739834,0.706497729,0.218616933,-0.07496807,0.765778661,0.433895767,-0.029763605,0.771262705,0.308984578,-0.048254605,0.779196084,0.229104161,-0.063799515,0.787277222,0.155415416,-0.075439826,0.806945026,0.443933994,-0.03801804,0.816726804,0.322789043,-0.06058659,0.825704277,0.244671762,-0.075244643,0.833275437,0.172433317,-0.084651805,0.846358597,0.473138362,-0.047719918,0.864570737,0.373134553,-0.06913022,0.877821326,0.306441277,-0.078457929,0.888436019,0.241525739,-0.084077962
Right,0.809389293,0.680451334,4.51E-07,0.741131306,0.64793396,-0.027367497,0.695397377,0.566291928,-0.041457132,0.678392112,0.48204422,-0.052795354,0.661085963,0.413874,-0.064281046,0.733584881,0.423977911,-0.028387636,0.720632136,0.317614555,-0.050285768,0.717736006,0.251682222,-0.067273721,0.719589114,0.188206464,-0.079986058,0.779114604,0.40069139,-0.031263404,0.782749176,0.27622667,-0.050273713,0.790033638,0.197660029,-0.066327654,0.797613621,0.124232978,-0.078703351,0.820281386,0.40858084,-0.037951495,0.829536378,0.288160145,-0.060935684,0.83859694,0.210622951,-0.075788878,0.845887005,0.13806057,-0.085649505,0.859670997,0.43661955,-0.046603203,0.875802934,0.33654359,-0.068640277,0.888375342,0.269508958,-0.078697614,0.898460388,0.203873873,-0.085067563
Right,0.817004323,0.691325128,5.00E-07,0.748460114,0.662809968,-0.030441789,0.702264011,0.586136758,-0.046605989,0.683684886,0.501873255,-0.059419144,0.6638816,0.430929035,-0.072202154,0.736669898,0.437459946,-0.032419663,0.724271953,0.328220814,-0.055914983,0.722601771,0.261321247,-0.073825479,0.725023389,0.195921093,-0.087070011,0.782109857,0.41191411,-0.034023121,0.785233915,0.285855889,-0.054559376,0.793198049,0.206721753,-0.071453899,0.800763786,0.131295145,-0.08449807,0.82334125,0.417409241,-0.039621215,0.831406891,0.296390772,-0.063768514,0.839932919,0.218278214,-0.078983933,0.846704006,0.144128263,-0.089109555,0.86310339,0.442420751,-0.047415797,0.877267838,0.341617048,-0.070384607,0.88968122,0.274790168,-0.080883257,0.899812102,0.208872214,-0.087555282
Right,0.828691185,0.715774894,5.29E-07,0.763383865,0.691849828,-0.036997214,0.718270898,0.616480708,-0.057406977,0.700243711,0.531190217,-0.073169813,0.680907488,0.4605681,-0.088682771,0.751880884,0.465734571,-0.042363424,0.744200885,0.355133116,-0.068621226,0.745398283,0.288383067,-0.088112615,0.750238359,0.222991616,-0.102508597,0.797564268,0.439157665,-0.041424587,0.802899122,0.314447403,-0.064950839,0.81353128,0.235863939,-0.083014138,0.823733449,0.161161274,-0.096895173,0.838505983,0.445038378,-0.044627547,0.848629832,0.325340837,-0.070704065,0.859497964,0.248639002,-0.086722009,0.868450701,0.176036388,-0.097475648,0.877694249,0.471234769,-0.050498482,0.892245471,0.371860266,-0.074470043,0.904629052,0.306673706,-0.085874587,0.914721131,0.242417216,-0.093455747
Right,0.825923502,0.752140224,5.26E-07,0.762055993,0.724166274,-0.035512738,0.717416823,0.65280664,-0.056053389,0.699259222,0.571215391,-0.072425991,0.678972125,0.49978146,-0.08859238,0.750205398,0.504026413,-0.040449675,0.741892397,0.395142496,-0.067204356,0.743234038,0.328215182,-0.087344743,0.748777926,0.262840629,-0.102002285,0.796154082,0.478825867,-0.040819936,0.801421225,0.354959369,-0.064495444,0.812303841,0.277836144,-0.082561836,0.82288897,0.20476687,-0.096214548,0.837562442,0.484582812,-0.04542426,0.848436832,0.364369154,-0.071356848,0.859808922,0.287197471,-0.086589798,0.868993938,0.214578003,-0.096622929,0.877242327,0.510506094,-0.052703131,0.892802417,0.410991043,-0.075907528,0.905818939,0.344219506,-0.086215042,0.915999532,0.278882384,-0.092877127
Right,0.821500897,0.793573737,5.25E-07,0.758005261,0.76776278,-0.036497321,0.713540792,0.694098294,-0.056998141,0.697933555,0.609886527,-0.072914563,0.680221081,0.535284102,-0.088736504,0.747585952,0.543181419,-0.042885166,0.738266945,0.439226568,-0.069849782,0.740226626,0.376887202,-0.089758255,0.747315884,0.315799177,-0.104204051,0.794928789,0.51976496,-0.042586785,0.802487671,0.397078872,-0.066907778,0.81509155,0.323068947,-0.08562997,0.828032553,0.25248149,-0.09985932,0.836500108,0.528699338,-0.046386037,0.85087055,0.412186354,-0.073721081,0.864972472,0.339535236,-0.090624928,0.877045274,0.271031976,-0.101757154,0.875727713,0.557932913,-0.052661695,0.894991577,0.461592555,-0.077368595,0.910724938,0.398688704,-0.089119218,0.923490047,0.336595476,-0.096829921
Right,0.82156527,0.792034149,5.36E-07,0.758303761,0.764471412,-0.03599121,0.714533925,0.689991117,-0.05622422,0.698326111,0.606412649,-0.071983628,0.680639565,0.532120883,-0.087835461,0.748399854,0.543376207,-0.041689739,0.73926115,0.440651506,-0.068332806,0.740754128,0.378711343,-0.088001445,0.74809736,0.317198038,-0.102216542,0.795676112,0.519301236,-0.041135129,0.803385019,0.39547655,-0.064723745,0.816159964,0.320930123,-0.08309073,0.829879284,0.250914007,-0.097162917,0.83747077,0.527746439,-0.044667605,0.851108015,0.409660637,-0.071462393,0.865417719,0.336755097,-0.088350423,0.878176928,0.269514918,-0.099541135,0.876543105,0.556464374,-0.050575227,0.894987941,0.459742308,-0.074924752,0.910659552,0.397358209,-0.086586751,0.923739314,0.337227702,-0.094296239
Right,0.816047728,0.785393476,5.51E-07,0.74917686,0.755134284,-0.035083227,0.706846833,0.677719355,-0.054595545,0.695338309,0.592504382,-0.069990985,0.679821849,0.519378662,-0.085234776,0.743281662,0.531928062,-0.039634325,0.742474616,0.419883966,-0.066774786,0.750312626,0.354330242,-0.087056622,0.762010515,0.291637123,-0.101319708,0.789293766,0.511851966,-0.039486337,0.79727602,0.386182964,-0.063304573,0.809912384,0.308171332,-0.081527032,0.822891176,0.235304117,-0.095145985,0.830228686,0.520969272,-0.043580037,0.841287017,0.400766075,-0.068792544,0.852554381,0.325710177,-0.083826572,0.862851024,0.256630003,-0.093699917,0.869475663,0.549295008,-0.050404813,0.88246721,0.45028618,-0.072857939,0.893014312,0.384938419,-0.083123915,0.901966631,0.321490675,-0.089725144
