handedness,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
Right,0.74271822,0.951669872,-3.22E-07,0.703873456,0.903940916,-0.014536909,0.67327261,0.844207585,-0.029780217,0.653685808,0.805916905,-0.046507463,0.648792446,0.76282841,-0.062058195,0.722658992,0.723704517,-0.014822674,0.709737062,0.657707691,-0.044785134,0.6824705,0.643820226,-0.065971062,0.65712899,0.648396611,-0.077113576,0.749594152,0.74256593,-0.022144994,0.730492413,0.684078872,-0.054136034,0.690936208,0.721752107,-0.066084452,0.667573333,0.762359679,-0.06762284,0.771082282,0.780255437,-0.033331659,0.752898991,0.731865406,-0.064136736,0.710947573,0.767720044,-0.067524329,0.685587645,0.803941607,-0.062474757,0.786311924,0.833391726,-0.045659114,0.766893268,0.806164861,-0.069204323,0.733184338,0.827431321,-0.071471028,0.711157501,0.851519048,-0.067495227
Right,0.747208178,0.937961161,-3.16E-07,0.708614707,0.891739011,-0.01475658,0.678166151,0.829212666,-0.028880976,0.659611464,0.788998783,-0.044349041,0.656227827,0.748077095,-0.058543313,0.728637457,0.709217429,-0.012482841,0.718659163,0.64664501,-0.04190458,0.691442728,0.634686649,-0.06353642,0.665422916,0.63814342,-0.07515467,0.755304635,0.728665411,-0.019353919,0.740782678,0.670573831,-0.050480057,0.701463103,0.705156744,-0.06331373,0.677571714,0.742861092,-0.065506339,0.777285337,0.766482055,-0.030155048,0.7639184,0.717984736,-0.059716951,0.722583711,0.75065732,-0.063785367,0.696829915,0.784603238,-0.059295025,0.793549359,0.81954509,-0.042177375,0.776387036,0.791886926,-0.064200699,0.74318397,0.810744762,-0.066286348,0.721077681,0.832621694,-0.062333751
Right,0.761540651,0.919691801,-2.14E-07,0.720827222,0.872689128,-0.015425593,0.691903293,0.800460279,-0.030211804,0.671245635,0.754093826,-0.045659963,0.650326729,0.711528003,-0.060167827,0.730408609,0.70459801,-0.022106338,0.723733366,0.630635381,-0.054671582,0.697947383,0.620660901,-0.07809937,0.67283684,0.625838697,-0.090646543,0.758816123,0.723277926,-0.030669449,0.753817976,0.641135156,-0.066811979,0.716522574,0.667703032,-0.082717538,0.691812456,0.706660688,-0.086330168,0.783740342,0.76028204,-0.042576317,0.782954156,0.690535188,-0.074231803,0.747006476,0.71173203,-0.08083158,0.722795367,0.739358068,-0.078151323,0.806425691,0.811327398,-0.055636574,0.806679368,0.762212992,-0.078502774,0.780875444,0.770459473,-0.082010753,0.760475993,0.787181914,-0.07972718
Right,0.770513535,0.904923737,-1.79E-07,0.727405965,0.864357293,-0.015826624,0.695138931,0.793421268,-0.032589048,0.672953904,0.746743381,-0.05015967,0.648999095,0.707391798,-0.067341059,0.731238186,0.700189173,-0.031919014,0.723366678,0.619997084,-0.067814015,0.698163509,0.60933888,-0.092650808,0.673615158,0.615134478,-0.106146194,0.759958327,0.71768415,-0.042124923,0.754915774,0.625091791,-0.082781993,0.71874845,0.651264369,-0.100431263,0.69459331,0.691999733,-0.105124198,0.786175072,0.753110826,-0.05521632,0.785067677,0.674805522,-0.09009634,0.749135494,0.697335839,-0.098644458,0.724488676,0.728326857,-0.097176298,0.810932696,0.801764369,-0.069345921,0.813394129,0.745946884,-0.094691142,0.788425744,0.752000988,-0.100520536,0.767376304,0.76926446,-0.100116655
Right,0.772166669,0.889239907,-2.02E-07,0.728882492,0.857307911,-0.017244022,0.696078181,0.789550126,-0.035743326,0.673444152,0.745700955,-0.054715861,0.649438739,0.708467603,-0.073480524,0.729634166,0.689988017,-0.038467731,0.719239235,0.610000849,-0.075979024,0.691288352,0.608271956,-0.100994885,0.666179061,0.622734427,-0.114453487,0.758537531,0.706739664,-0.048785124,0.751162708,0.609568238,-0.091326885,0.713168502,0.641161859,-0.109369159,0.690095425,0.685270667,-0.114241116,0.785447955,0.741087854,-0.061833207,0.78288281,0.657349467,-0.097865626,0.745775104,0.68356961,-0.107311033,0.722055972,0.717438877,-0.106701083,0.811899424,0.788431883,-0.075901978,0.814798713,0.729928076,-0.102499709,0.789840937,0.736884236,-0.109663807,0.769486547,0.754254043,-0.110459313
Right,0.774702787,0.886488378,-2.07E-07,0.729468286,0.858273208,-0.018296637,0.693466604,0.794335842,-0.036804378,0.668706477,0.753890038,-0.055439107,0.64391607,0.71679908,-0.073340967,0.720426559,0.691496789,-0.035858717,0.707249045,0.612205625,-0.07352481,0.678789496,0.621497452,-0.099190839,0.655881047,0.648262799,-0.112438098,0.750314295,0.701466203,-0.045010578,0.741370678,0.600834191,-0.086087458,0.706535339,0.635356128,-0.103909589,0.687464237,0.684338212,-0.108716615,0.779723287,0.729601264,-0.057328753,0.778853714,0.63763541,-0.091069207,0.74596101,0.659466386,-0.100460239,0.725695133,0.692828119,-0.100366183,0.809882998,0.77179426,-0.070912078,0.817269683,0.699377179,-0.094767921,0.795840085,0.701919734,-0.101036146,0.777351618,0.720755994,-0.101706184
Right,0.766636848,0.906296968,-1.23E-07,0.72126627,0.878983259,-0.018623283,0.684417725,0.820285797,-0.037807859,0.658408761,0.781177402,-0.05698055,0.633579612,0.741365135,-0.075108595,0.711093903,0.712837398,-0.033806574,0.69924587,0.627897441,-0.070367381,0.673332989,0.641100287,-0.095858589,0.653586447,0.678720713,-0.108644567,0.743465304,0.716653883,-0.041466922,0.741315424,0.611433208,-0.078949884,0.713073552,0.631403089,-0.096559763,0.69541961,0.681263983,-0.101721868,0.774875522,0.741914392,-0.052210722,0.779006422,0.643628061,-0.081761897,0.754370749,0.64822799,-0.09118101,0.734987617,0.676080644,-0.092384197,0.805905104,0.784756303,-0.064220436,0.822685003,0.717330456,-0.086308166,0.812497735,0.695623577,-0.093561985,0.798448682,0.692106426,-0.095196187
Right,0.758112431,0.936934412,-8.56E-08,0.712958395,0.908118248,-0.017178657,0.675372541,0.84495163,-0.033034604,0.648302615,0.799855173,-0.049336296,0.622026622,0.760795355,-0.064393103,0.69964391,0.74072367,-0.020851819,0.686884105,0.66085434,-0.052280467,0.666046262,0.671670914,-0.075832784,0.652049959,0.710443854,-0.087750971,0.733656764,0.737321258,-0.027795983,0.732558787,0.643080413,-0.059236728,0.710752726,0.652858675,-0.077201918,0.696468234,0.700596154,-0.083383657,0.76673317,0.75661993,-0.038230244,0.773456097,0.666306496,-0.063662693,0.755997777,0.657308221,-0.074642695,0.740541458,0.678184867,-0.077753589,0.797991097,0.79480505,-0.049893524,0.817818761,0.7388255,-0.069481395,0.816689491,0.712475538,-0.077283561,0.811671972,0.70437938,-0.079681523
Right,0.766215622,0.952542484,-1.04E-08,0.718680918,0.923361361,-0.016012961,0.679793358,0.861077785,-0.029941762,0.653708279,0.815277815,-0.044489618,0.629402339,0.772846758,-0.057970911,0.704689324,0.754460931,-0.01385059,0.688924193,0.683596075,-0.041943677,0.673592031,0.693483293,-0.064077683,0.663332522,0.732806146,-0.075009398,0.739737689,0.746992111,-0.019782461,0.740008175,0.663261712,-0.042757325,0.730057538,0.652940631,-0.058051948,0.721835196,0.677926958,-0.064549863,0.773442388,0.763234735,-0.029576689,0.777501464,0.685341656,-0.050562367,0.768599033,0.662460685,-0.05945665,0.758056998,0.662855983,-0.062267795,0.804583132,0.797687948,-0.040594175,0.820533812,0.745589316,-0.057744198,0.825517058,0.718714952,-0.062619276,0.82642436,0.702834368,-0.063136049
Right,0.76500839,0.962951601,1.18E-09,0.718725979,0.933526397,-0.016326426,0.68078953,0.870241284,-0.030064456,0.65523994,0.824709654,-0.044271395,0.632895112,0.780954897,-0.057285879,0.705157161,0.762397826,-0.013705277,0.692169785,0.691323698,-0.041745301,0.676466227,0.6975196,-0.063918337,0.665773988,0.73652786,-0.074801847,0.740815163,0.755846441,-0.019694787,0.741933763,0.667900205,-0.044784665,0.730885506,0.659671426,-0.061816189,0.722264767,0.693701744,-0.068562225,0.774769604,0.773658812,-0.029461944,0.780470908,0.693042576,-0.052188568,0.770450413,0.672119021,-0.063450739,0.759272635,0.680438638,-0.067125648,0.806320667,0.810405016,-0.040293101,0.823202252,0.756830215,-0.059250169,0.826477408,0.730337441,-0.065965019,0.825520575,0.719653726,-0.067331679
