handedness,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
Right,0.772620082,0.739686847,6.71E-07,0.723646283,0.698871076,-0.032686897,0.695325255,0.618301928,-0.053189442,0.727316618,0.560735822,-0.073247634,0.768990338,0.529897213,-0.09196049,0.718216121,0.459955215,-0.035990484,0.701154768,0.357289612,-0.062803075,0.691174448,0.28980577,-0.080226921,0.687067866,0.224612385,-0.093372189,0.767323613,0.451137155,-0.040611848,0.783371747,0.327733099,-0.07031098,0.800476849,0.249845952,-0.088967904,0.818138659,0.178194046,-0.099745989,0.807486594,0.483666211,-0.048480768,0.824319661,0.425689876,-0.089180924,0.807895422,0.51620388,-0.092129298,0.796525776,0.58386004,-0.083836153,0.841784894,0.537990808,-0.058895592,0.845426798,0.511766672,-0.09248174,0.827772856,0.574511647,-0.091891222,0.815458179,0.623755097,-0.084176883
Right,0.778556287,0.72613728,6.81E-07,0.727641046,0.690365553,-0.033353142,0.699679434,0.612930179,-0.054457325,0.735783577,0.550558627,-0.075017631,0.776756048,0.512462497,-0.094247751,0.713914275,0.457171351,-0.037518248,0.694423795,0.356139332,-0.065158449,0.682444632,0.288540304,-0.083384752,0.675480366,0.223463535,-0.097150899,0.763392389,0.441124022,-0.041248031,0.775962532,0.315825105,-0.071977168,0.790043712,0.234835282,-0.09042421,0.803602099,0.159741789,-0.101059638,0.805076122,0.466877162,-0.048315801,0.822777569,0.402126312,-0.089520894,0.812774241,0.49470678,-0.090876065,0.804337204,0.564012051,-0.081263892,0.842206717,0.516948462,-0.058028031,0.849704981,0.478291094,-0.091951199,0.835927963,0.542616844,-0.090470746,0.823930979,0.595080078,-0.081856526
Right,0.775541961,0.694174528,7.22E-07,0.726230621,0.665252984,-0.040476736,0.704357386,0.59159863,-0.065191224,0.745838106,0.527090013,-0.087907597,0.786435008,0.479896784,-0.108758621,0.709567308,0.43043673,-0.043733906,0.692629158,0.325628489,-0.074447215,0.683018565,0.255723357,-0.094795361,0.678651273,0.186271101,-0.110014863,0.758416176,0.405719936,-0.044946607,0.769941032,0.276054144,-0.078859828,0.785818219,0.192744344,-0.099829808,0.80057019,0.113211513,-0.112399787,0.800530314,0.425581366,-0.050074808,0.824265718,0.352290541,-0.095594689,0.819715321,0.448719978,-0.099418722,0.81338346,0.520194471,-0.09104082,0.839871287,0.473293513,-0.058284335,0.854043603,0.434063405,-0.096589252,0.84324199,0.501335025,-0.098051943,0.830159247,0.556455374,-0.091192625
Right,0.778155863,0.672171891,7.96E-07,0.732185066,0.656519055,-0.047806412,0.713360667,0.591469646,-0.0772117,0.756537497,0.524719,-0.103084706,0.797237873,0.470463604,-0.126518026,0.706458032,0.428045928,-0.054798659,0.688033462,0.319348574,-0.088036194,0.678505957,0.249020085,-0.108576946,0.674831867,0.176946387,-0.123994648,0.753412664,0.392915368,-0.053832822,0.762415171,0.258856535,-0.090923063,0.779823601,0.173612744,-0.112423033,0.794084072,0.090164423,-0.125297755,0.793989897,0.40686962,-0.057145495,0.824445069,0.334339827,-0.107160874,0.829075217,0.434202135,-0.113098718,0.825213373,0.507142425,-0.105672568,0.831566036,0.450491339,-0.063951463,0.854003251,0.421057284,-0.107809432,0.848483443,0.490343034,-0.113318801,0.834953606,0.547177255,-0.10896948
Right,0.782414317,0.637151837,9.31E-07,0.743389547,0.639203787,-0.057842299,0.728894353,0.586550593,-0.090733021,0.774544358,0.514040351,-0.116950154,0.813299179,0.453171372,-0.140482858,0.702599347,0.4231309,-0.070210837,0.685173333,0.312677264,-0.106596947,0.677285016,0.242729485,-0.129856348,0.674650252,0.169192687,-0.146525368,0.747861862,0.376847625,-0.063947245,0.754508674,0.234869167,-0.102295265,0.771998405,0.143885404,-0.125815988,0.785002291,0.05620116,-0.140440375,0.788351953,0.380288094,-0.062145062,0.821071267,0.308449537,-0.11435613,0.840577364,0.403088957,-0.124594443,0.84632206,0.477952808,-0.119718634,0.82551837,0.414348871,-0.064280197,0.854146361,0.381280243,-0.111072108,0.85936749,0.449209601,-0.119224846,0.852297604,0.515251279,-0.116342209
Right,0.783466041,0.61225003,9.24E-07,0.745781779,0.611299038,-0.054413296,0.732476354,0.557157815,-0.084680691,0.778987586,0.48373735,-0.109081529,0.818647325,0.426577091,-0.130836844,0.707344592,0.397494167,-0.061943002,0.689499795,0.291005194,-0.09544681,0.681547582,0.22227475,-0.117406957,0.678083718,0.150311247,-0.133135319,0.750977397,0.350461543,-0.056475561,0.756282926,0.210788071,-0.091602698,0.772383392,0.120321006,-0.113386706,0.784145594,0.034433067,-0.126574233,0.790585577,0.353933811,-0.055534195,0.822964132,0.285678238,-0.104378916,0.842104733,0.381105006,-0.112519592,0.847844064,0.455954522,-0.106082916,0.826575935,0.389510393,-0.058469933,0.855016351,0.35268873,-0.101638682,0.860505641,0.420288622,-0.107096687,0.85446161,0.486960828,-0.102298826
Right,0.781359673,0.615766287,8.15E-07,0.736975014,0.596218944,-0.042248357,0.716690958,0.531006396,-0.069793768,0.755384207,0.464933306,-0.095143907,0.793711185,0.414111346,-0.118536167,0.709179819,0.371327281,-0.05012612,0.687709272,0.266857773,-0.082708195,0.676606536,0.198860377,-0.103831723,0.671009898,0.130335838,-0.119381838,0.756117225,0.339308232,-0.051680353,0.765444338,0.205886245,-0.08741428,0.780243576,0.120168984,-0.108391412,0.793335319,0.037901968,-0.120599195,0.797996104,0.355453581,-0.056924917,0.819874823,0.283913702,-0.10259667,0.81862247,0.383984357,-0.10485816,0.813935578,0.454905629,-0.095532402,0.836805642,0.400178254,-0.065504074,0.852675676,0.363474816,-0.10348317,0.843547463,0.430398792,-0.103822097,0.831197262,0.484162301,-0.096222989
Right,0.787291229,0.679234564,7.12E-07,0.739238024,0.639250278,-0.036355291,0.71562928,0.558559895,-0.059160784,0.754050493,0.498848915,-0.081114136,0.796584904,0.463232696,-0.101490676,0.725875437,0.41348356,-0.042270545,0.703423858,0.304978848,-0.072243646,0.690515697,0.236169949,-0.090815797,0.682748854,0.170709699,-0.103735477,0.773976207,0.392295986,-0.044797663,0.78606391,0.257298797,-0.07611917,0.802177131,0.171842456,-0.093113802,0.818217337,0.096505344,-0.101764128,0.815560102,0.415425241,-0.050968554,0.833427668,0.348528326,-0.091602288,0.827656031,0.440771937,-0.092483945,0.823318243,0.511118889,-0.082075454,0.853036106,0.464871466,-0.060293335,0.860692143,0.439050883,-0.092966728,0.848423958,0.499641001,-0.091550864,0.838744044,0.548585534,-0.082783885
Right,0.802339315,0.754953861,6.82E-07,0.757004499,0.706161559,-0.031336248,0.734411299,0.620733857,-0.052056428,0.772169352,0.560203493,-0.072504848,0.815012574,0.524042785,-0.091621287,0.746773243,0.473004043,-0.039847955,0.72704196,0.36261788,-0.070465572,0.716972411,0.291611552,-0.09063229,0.710152149,0.224753499,-0.105358146,0.796833098,0.456672221,-0.044872932,0.813502192,0.321425408,-0.076118059,0.834548354,0.241870835,-0.094308779,0.853959858,0.172446072,-0.104597032,0.838654578,0.484333485,-0.052892137,0.858561277,0.424486935,-0.091368206,0.848280489,0.513598621,-0.091592476,0.839874864,0.579845786,-0.08241158,0.875014007,0.537644148,-0.06383352,0.883589387,0.521852791,-0.09583836,0.866626382,0.583911717,-0.094457217,0.852222562,0.630957425,-0.08660274
Right,0.804773092,0.788363814,6.58E-07,0.755336821,0.734127402,-0.030329483,0.732067347,0.64639473,-0.051160086,0.768884659,0.585492611,-0.072624937,0.812691391,0.55472672,-0.09305802,0.760445416,0.48985219,-0.034117606,0.74036473,0.377925843,-0.061900333,0.729638696,0.307038218,-0.080155283,0.724495113,0.239146292,-0.093580447,0.811029732,0.485792577,-0.040770859,0.830674291,0.352077395,-0.07073421,0.848612726,0.271217197,-0.088624172,0.866821766,0.197156012,-0.098637037,0.851658285,0.523901582,-0.050520752,0.867808342,0.450679719,-0.0914419,0.846593738,0.545509398,-0.090521432,0.832657099,0.61479789,-0.079165347,0.886173546,0.587558508,-0.062708713,0.890371501,0.539748073,-0.095268324,0.869057,0.606718838,-0.08992552,0.854205847,0.660127521,-0.078468934
