handedness,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
Right,0.85290736,0.592654943,3.16E-07,0.841666222,0.59881258,-0.066551305,0.849309266,0.545908153,-0.097326301,0.884756923,0.47216481,-0.1150226,0.915281773,0.416112721,-0.127321437,0.782102525,0.425725341,-0.073925324,0.795473158,0.335815668,-0.10746529,0.812762082,0.272933483,-0.127115801,0.830882907,0.210832611,-0.138171524,0.811153591,0.377859503,-0.051643804,0.860436022,0.317431301,-0.096523367,0.874803305,0.395345777,-0.109039657,0.868463039,0.44674173,-0.106725462,0.841050148,0.352011204,-0.034326605,0.881493568,0.306403577,-0.07644546,0.891051114,0.376949877,-0.078696035,0.881814957,0.415979296,-0.067054644,0.86686182,0.343658864,-0.021557275,0.890278578,0.259908438,-0.04575783,0.90024358,0.213262886,-0.047851976,0.898450971,0.169280678,-0.041677792
Right,0.878294528,0.619564891,2.98E-07,0.855908751,0.621431649,-0.058446694,0.854412258,0.562683582,-0.087537214,0.886968851,0.48135823,-0.105658665,0.923378289,0.427226871,-0.119296707,0.798850536,0.447770417,-0.064415619,0.804309845,0.356075823,-0.095594749,0.819615602,0.294106901,-0.114588678,0.834736109,0.236027718,-0.126193821,0.832354784,0.405809492,-0.047142684,0.863918841,0.334957391,-0.092275091,0.880064487,0.415130854,-0.105192088,0.877585113,0.46868515,-0.103250116,0.863801479,0.384536207,-0.03440712,0.889890611,0.326301813,-0.076125845,0.8990587,0.387513876,-0.079052545,0.892389655,0.425397933,-0.068890058,0.89037168,0.379823714,-0.025444502,0.906243503,0.292166591,-0.0503245,0.916868448,0.244517729,-0.053426042,0.915656209,0.19974415,-0.049054213
Right,0.881456137,0.639709651,2.52E-07,0.854558885,0.629238307,-0.048811737,0.846275747,0.574360073,-0.074165747,0.879302621,0.49650532,-0.091637425,0.914579451,0.444372833,-0.105802141,0.797765732,0.454262465,-0.050653581,0.796925306,0.367893547,-0.081010625,0.805459142,0.30555439,-0.102415636,0.815349817,0.251081347,-0.116197839,0.834637105,0.416018575,-0.03807345,0.85406059,0.346925676,-0.080425113,0.873950064,0.420660079,-0.094539873,0.877378464,0.470786273,-0.094216175,0.868136585,0.399312764,-0.029897925,0.887715578,0.340795696,-0.068353161,0.900587738,0.408166707,-0.069018744,0.899220467,0.455628037,-0.057705954,0.898503661,0.40182817,-0.025410231,0.909310818,0.312383473,-0.050387461,0.91803813,0.263727605,-0.053986385,0.917870402,0.219315156,-0.049864504
Right,0.886683524,0.666801751,1.50E-07,0.851208627,0.64777863,-0.038564268,0.838066697,0.587700605,-0.059417415,0.871996224,0.509367406,-0.074678876,0.908114076,0.461081475,-0.087188296,0.804372728,0.462749898,-0.039848883,0.800594568,0.378590375,-0.067376018,0.806325197,0.318300307,-0.087039128,0.812517762,0.261902809,-0.100124165,0.84348011,0.428898692,-0.031885434,0.857340395,0.363402605,-0.072734877,0.875163078,0.440166533,-0.086649932,0.879629195,0.493538082,-0.086507484,0.879490614,0.416062772,-0.027553163,0.893888175,0.352402151,-0.065020904,0.905644417,0.420971185,-0.066155076,0.906874597,0.471190572,-0.055404533,0.910793662,0.421588123,-0.025986837,0.922604024,0.33614406,-0.05097612,0.931738675,0.286227763,-0.055991564,0.934190452,0.23731406,-0.053099502
Right,0.883754015,0.703067183,8.50E-08,0.84063369,0.673512459,-0.027692471,0.823379397,0.602566063,-0.042220384,0.856544912,0.527047276,-0.053291734,0.894712508,0.483124435,-0.06247386,0.804249048,0.479267478,-0.027917234,0.799059689,0.395758688,-0.053750519,0.804097593,0.334580362,-0.072094731,0.811021149,0.279468119,-0.084125556,0.846154332,0.4545542,-0.024599671,0.856966019,0.386082768,-0.063536353,0.865791738,0.463641047,-0.076368414,0.866975427,0.5215922,-0.075330533,0.884750605,0.448633432,-0.024548367,0.895817637,0.390612721,-0.060392033,0.897726536,0.455216885,-0.06254717,0.895402074,0.502811074,-0.05293059,0.9192155,0.45796901,-0.026392672,0.933210194,0.371559262,-0.051639117,0.942831576,0.321430773,-0.058043651,0.948017538,0.271069944,-0.056401081
Right,0.873217285,0.725095272,3.20E-08,0.827497602,0.683423579,-0.021981275,0.807061315,0.608635664,-0.034266558,0.8380723,0.537932575,-0.045346193,0.877324343,0.501126826,-0.055590134,0.797263503,0.490625679,-0.019001646,0.789751053,0.405464739,-0.040614516,0.791557074,0.348407537,-0.054524422,0.794388115,0.296112537,-0.063843623,0.839355588,0.472889215,-0.019757342,0.843956053,0.396327674,-0.059278045,0.849347949,0.470744491,-0.072254278,0.849533737,0.532429338,-0.070195027,0.879325807,0.473077148,-0.023331311,0.884544671,0.406214684,-0.060018629,0.884575963,0.468085587,-0.062409814,0.882239282,0.51881516,-0.051951576,0.914752841,0.486414492,-0.028282484,0.925754309,0.397888184,-0.05314346,0.933336437,0.34444195,-0.059286661,0.937212884,0.292686552,-0.05746733
Right,0.859164596,0.740311742,3.27E-08,0.812834799,0.697976708,-0.018352415,0.783715725,0.61187911,-0.029364038,0.809554636,0.538594604,-0.040161703,0.850662351,0.507614493,-0.050192375,0.79393965,0.495479137,-0.015821816,0.785553217,0.409124643,-0.033269763,0.783834219,0.356696397,-0.044601157,0.783582449,0.305902719,-0.053872235,0.833282769,0.484613985,-0.017737705,0.832709491,0.403991491,-0.051638644,0.832634747,0.476292163,-0.061173566,0.833048165,0.535093248,-0.058874864,0.870279074,0.492209435,-0.021926029,0.870184541,0.421543688,-0.053147871,0.862545609,0.492114425,-0.049837384,0.85908246,0.550871968,-0.037586514,0.904012263,0.512121558,-0.027775647,0.917916417,0.426161855,-0.050070215,0.923802793,0.3697052,-0.05448797,0.927657604,0.313560188,-0.05279272
Right,0.84985286,0.748871326,4.13E-09,0.804675698,0.697137356,-0.017144291,0.776033223,0.612433016,-0.027426276,0.795233607,0.549293756,-0.038408112,0.83345592,0.523342431,-0.048291951,0.796995997,0.492167056,-0.012440775,0.790465832,0.40995872,-0.029662624,0.786002278,0.362906396,-0.039520152,0.783778131,0.314558774,-0.046985924,0.834462762,0.488228768,-0.015622905,0.834669888,0.407388806,-0.051330734,0.827797413,0.478664875,-0.06117231,0.824901164,0.536869168,-0.057707693,0.87020117,0.501822829,-0.021194248,0.869424522,0.437633276,-0.055967156,0.856164813,0.514944911,-0.053560667,0.850078285,0.574959457,-0.039778981,0.903117597,0.526980758,-0.028127311,0.919931889,0.442143708,-0.051151544,0.925964236,0.387270629,-0.05483342,0.930660188,0.330908358,-0.051607635
Right,0.838456511,0.740083873,-2.91E-08,0.796352267,0.688537598,-0.016080147,0.769872725,0.60204947,-0.025462631,0.780724704,0.539618313,-0.036176499,0.814253747,0.516738653,-0.045565844,0.802599609,0.484816849,-0.008269507,0.796523929,0.403667092,-0.024887016,0.790714204,0.354999661,-0.033330489,0.789725125,0.306992948,-0.039168004,0.835651517,0.486101538,-0.012480966,0.834765136,0.399242342,-0.048645642,0.819416463,0.461338699,-0.058670938,0.810943604,0.519517243,-0.054222405,0.868350983,0.504575908,-0.01921325,0.863521874,0.444454283,-0.055614978,0.845275939,0.516803741,-0.054773882,0.836170733,0.573239625,-0.040830992,0.899329305,0.533035576,-0.027086319,0.915221632,0.449984729,-0.049658321,0.920407474,0.39505139,-0.053271431,0.924576879,0.339972943,-0.049777865
Right,0.822883427,0.726673841,-3.40E-08,0.782044351,0.67358613,-0.016781349,0.757872224,0.585857689,-0.026669918,0.763942599,0.523635328,-0.038305938,0.793332279,0.502191126,-0.048228122,0.800051033,0.47978574,-0.006813713,0.794622362,0.396144927,-0.023099797,0.786536455,0.34728393,-0.030516088,0.784298539,0.299122691,-0.035219148,0.828296006,0.484521478,-0.010688458,0.827972472,0.395418942,-0.047033638,0.808619261,0.453338772,-0.056419991,0.79865104,0.508870184,-0.050819341,0.856282651,0.503837526,-0.017224895,0.847114205,0.439127833,-0.053382456,0.827029228,0.508890688,-0.051683471,0.819281042,0.564192653,-0.036591556,0.882892311,0.531634569,-0.025097705,0.898825228,0.450310111,-0.046084862,0.902279019,0.394633025,-0.048478853,0.905442834,0.339616001,-0.043993812
